,precision,recall,f1-score,support
0,0.7916241062308478,1.0,0.8836944127708096,775.0
1,0.0,0.0,0.0,204.0
accuracy,0.7916241062308478,0.7916241062308478,0.7916241062308478,0.7916241062308478
macro avg,0.3958120531154239,0.5,0.4418472063854048,979.0
weighted avg,0.6266687255657887,0.7916241062308478,0.699553799690886,979.0
