Model,Precision,Recall,F1-Score
Dummy Classifier,0.39540816326530615,0.5,0.4415954415954416
Logistic Regression,0.6458398417161304,0.7203776553894571,0.6111111111111112
Decision Tree,0.6432234432234433,0.7153422501966955,0.6230769230769231
K-Means Clustering,0.3958120531154239,0.5,0.4418472063854048
XGBoost,0.6639306885544916,0.6697088906372934,0.6666666666666666
Random Forest,0.6279761904761905,0.5947285601888277,0.6042536007538026
Ensemble Model,0.6280821917808219,0.6471282454760031,0.6350626118067979
