Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro)
Dummy Classifier,0.7222222222222222,0.24074074074074073,0.3333333333333333,0.2795698924731183
Logistic Regression,0.7037037037037037,0.40641711229946526,0.456639566395664,0.42940990563908077
Decision Tree,0.5370370370370371,0.41275777120234897,0.4199444828456382,0.3997509883755237
DBSCAN,0.7202602230483272,0.24008674101610905,0.3333333333333333,0.27912839906356923
XGBoost,0.5972222222222222,0.44312338222605696,0.48368223560778123,0.4452140646829179
Random Forest,0.6712962962962963,0.4043409000398248,0.44767563060245985,0.42292548090483445
Ensemble,0.6944444444444444,0.41303434954228607,0.4523660621221597,0.4313067784765898
