,precision,recall,f1-score,support
ordinary_term,0.7870967741935484,0.782051282051282,0.7845659163987139,156.0
final_exam,0.0,0.0,0.0,19.0
summer_work_period,0.42592592592592593,0.5609756097560976,0.4842105263157895,41.0
accuracy,0.6712962962962963,0.6712962962962963,0.6712962962962963,0.6712962962962963
macro avg,0.4043409000398248,0.44767563060245985,0.42292548090483445,216.0
weighted avg,0.6493058321164653,0.6712962962962963,0.6585412710053089,216.0
