,precision,recall,f1-score
0,0.8214285714285714,0.5897435897435898,0.6865671641791045
1,0.06818181818181818,0.15789473684210525,0.09523809523809523
2,0.35,0.5121951219512195,0.4158415841584158
accuracy,0.5370370370370371,0.5370370370370371,0.5370370370370371
macro avg,0.4132034632034632,0.4199444828456382,0.3992156145252052
