Model,Precision,Recall,F1-Score
Dummy Classifier,0.24074074074074073,0.3333333333333333,0.2795698924731183
Logistic Regression,0.44939814814814816,0.5411221925984442,0.4228494538713517
Decision Tree,0.4132034632034632,0.4199444828456382,0.3992156145252052
K-Means Clustering,0.24074074074074073,0.3333333333333333,0.2795698924731183
XGBoost,0.4158838790481303,0.4164390024467046,0.41072475641983347
Random Forest,0.4198542805100182,0.41082968521992913,0.4086186994998076
Ensemble Model,0.45529128494244775,0.45364975916965644,0.4492574461421814
