,precision,recall,f1-score,support
0,0.923728813559322,0.7032258064516129,0.7985347985347986,155.0
1,0.41025641025641024,0.7804878048780488,0.5378151260504201,41.0
accuracy,0.7193877551020408,0.7193877551020408,0.7193877551020408,0.7193877551020408
macro avg,0.6669926119078662,0.7418568056648309,0.6681749622926094,196.0
weighted avg,0.816318770011264,0.7193877551020408,0.7439964996987807,196.0
