,precision,recall,f1-score,support
0,0.8627450980392157,0.8516129032258064,0.8571428571428571,155.0
1,0.46511627906976744,0.4878048780487805,0.47619047619047616,41.0
accuracy,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326
macro avg,0.6639306885544916,0.6697088906372934,0.6666666666666666,196.0
weighted avg,0.7795676410098924,0.7755102040816326,0.7774538386783285,196.0
