,precision,recall,f1-score,support
0,0.9022556390977443,0.7741935483870968,0.8333333333333334,155.0
1,0.4444444444444444,0.6829268292682927,0.5384615384615384,41.0
accuracy,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.7551020408163265
macro avg,0.6733500417710944,0.7285601888276947,0.6858974358974359,196.0
weighted avg,0.8064890116447582,0.7551020408163265,0.7716509680795396,196.0
