,precision,recall,f1-score,support
0,0.9381443298969072,0.5870967741935483,0.7222222222222222,155.0
1,0.35353535353535354,0.8536585365853658,0.5,41.0
accuracy,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429
macro avg,0.6458398417161304,0.7203776553894571,0.6111111111111112,196.0
weighted avg,0.815853676678419,0.6428571428571428,0.6757369614512472,196.0
