,precision,recall,f1-score,support
0,0.875968992248062,0.7290322580645161,0.795774647887324,155.0
1,0.373134328358209,0.6097560975609756,0.46296296296296297,41.0
accuracy,0.7040816326530612,0.7040816326530612,0.7040816326530612,0.7040816326530612
macro avg,0.6245516603031355,0.6693941778127459,0.6293688054251435,196.0
weighted avg,0.7707841901078376,0.7040816326530612,0.7261558770613097,196.0
