Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro)
Dummy Classifier,0.7908163265306123,0.39540816326530615,0.5,0.4415954415954416
Logistic Regression,0.6428571428571429,0.6458398417161304,0.7203776553894571,0.6111111111111112
Decision Tree,0.7040816326530612,0.6245516603031355,0.6693941778127459,0.6293688054251435
DBSCAN,0.7916241062308478,0.3958120531154239,0.5,0.4418472063854048
XGBoost,0.7755102040816326,0.6639306885544916,0.6697088906372934,0.6666666666666666
Random Forest,0.7193877551020408,0.6669926119078662,0.7418568056648309,0.6681749622926094
Ensemble,0.7551020408163265,0.6733500417710944,0.7285601888276947,0.6858974358974359
