,precision,recall,f1-score,support
0,0.8950617283950617,0.9294871794871795,0.9119496855345912,156.0
1,0.15384615384615385,0.10526315789473684,0.125,19.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.5244539411206077,0.5173751686909582,0.5184748427672956,175.0
weighted avg,0.8145868945868946,0.84,0.8265094339622642,175.0
