Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro)
Dummy Classifier,0.8914285714285715,0.44571428571428573,0.5,0.47129909365558914
Logistic Regression,0.8914285714285715,0.44571428571428573,0.5,0.47129909365558914
Decision Tree,0.8285714285714286,0.5135416666666667,0.5109649122807017,0.5113551749813849
DBSCAN,0.8887614678899083,0.44438073394495414,0.5,0.4705525197328476
XGBoost,0.84,0.5244539411206077,0.5173751686909582,0.5184748427672956
Random Forest,0.8685714285714285,0.4444444444444444,0.48717948717948717,0.4648318042813456
Ensemble,0.84,0.5244539411206077,0.5173751686909582,0.5184748427672956
