,precision,recall,f1-score,support
0,0.89375,0.9166666666666666,0.9050632911392406,156.0
1,0.13333333333333333,0.10526315789473684,0.11764705882352941,19.0
accuracy,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8285714285714286
macro avg,0.5135416666666667,0.5109649122807017,0.5113551749813849,175.0
weighted avg,0.8111904761904762,0.8285714285714286,0.8195723859163919,175.0
