,precision,recall,f1-score
0,0.8930817610062893,0.9102564102564102,0.9015873015873016
1,0.125,0.10526315789473684,0.11428571428571428
accuracy,0.8228571428571428,0.8228571428571428,0.8228571428571428
macro avg,0.5090408805031447,0.5077597840755735,0.5079365079365079
