,precision,recall,f1-score
0,0.8914285714285715,1.0,0.9425981873111783
1,0.0,0.0,0.0
accuracy,0.8914285714285715,0.8914285714285715,0.8914285714285715
macro avg,0.44571428571428573,0.5,0.47129909365558914
