,precision,recall,f1-score
0,0.7908163265306123,1.0,0.8831908831908832
1,0.0,0.0,0.0
accuracy,0.7908163265306123,0.7908163265306123,0.7908163265306123
macro avg,0.39540816326530615,0.5,0.4415954415954416
