,precision,recall,f1-score
0,0.8561643835616438,0.8064516129032258,0.8305647840531561
1,0.4,0.4878048780487805,0.43956043956043955
accuracy,0.7397959183673469,0.7397959183673469,0.7397959183673469
macro avg,0.6280821917808219,0.6471282454760031,0.6350626118067979
