,precision,recall,f1-score,support
0,0.7908163265306123,1.0,0.8831908831908832,155.0
1,0.0,0.0,0.0,41.0
accuracy,0.7908163265306123,0.7908163265306123,0.7908163265306123,0.7908163265306123
macro avg,0.39540816326530615,0.5,0.4415954415954416,196.0
weighted avg,0.6253904623073719,0.7908163265306123,0.6984417698703413,196.0
