,precision,recall,f1-score
0,0.7530864197530864,0.782051282051282,0.7672955974842768
1,0.125,0.05263157894736842,0.07407407407407407
2,0.3695652173913043,0.4146341463414634,0.39080459770114945
accuracy,0.6481481481481481,0.6481481481481481,0.6481481481481481
macro avg,0.4158838790481303,0.4164390024467046,0.41072475641983347
