,precision,recall,f1-score
0,0.8266666666666667,0.3974358974358974,0.5367965367965368
1,0.17777777777777778,0.42105263157894735,0.25
2,0.34375,0.8048780487804879,0.48175182481751827
accuracy,0.47685185185185186,0.47685185185185186,0.47685185185185186
macro avg,0.44939814814814816,0.5411221925984442,0.4228494538713517
