,precision,recall,f1-score
0,0.7757575757575758,0.8205128205128205,0.7975077881619937
1,0.125,0.05263157894736842,0.07407407407407407
2,0.46511627906976744,0.4878048780487805,0.47619047619047616
accuracy,0.6898148148148148,0.6898148148148148,0.6898148148148148
macro avg,0.45529128494244775,0.45364975916965644,0.4492574461421814
