,precision,recall,f1-score
0,0.8950617283950617,0.9294871794871795,0.9119496855345912
1,0.15384615384615385,0.10526315789473684,0.125
accuracy,0.84,0.84,0.84
macro avg,0.5244539411206077,0.5173751686909582,0.5184748427672956
