Model,Precision,Recall,F1-Score
Dummy Classifier,0.44571428571428573,0.5,0.47129909365558914
Logistic Regression,0.5194078947368421,0.5497638326585694,0.41458519179304193
Decision Tree,0.5450525152017689,0.6099865047233468,0.5066948555320648
XGBoost,0.5090408805031447,0.5077597840755735,0.5079365079365079
Random Forest,0.4444444444444444,0.48717948717948717,0.4648318042813456
Ensemble Model,0.5244539411206077,0.5173751686909582,0.5184748427672956
