,precision,recall,f1-score,support
0,0.8914285714285715,1.0,0.9425981873111783,156.0
1,0.0,0.0,0.0,19.0
accuracy,0.8914285714285715,0.8914285714285715,0.8914285714285715,0.8914285714285715
macro avg,0.44571428571428573,0.5,0.47129909365558914,175.0
weighted avg,0.7946448979591837,0.8914285714285715,0.8402589555459646,175.0
